date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:51	215177/215177	---M--	200	added ('OK')	image/jpeg	etag:%2234889-62a1a39a-3ec1662babcdb18d;;;%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/assets/images/usrbig.jpg	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/assets/images/usrbig.jpg	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:52	92969/92969	---M-Z	200	added ('OK')	text/html	etag:%2216b29-62a1a39b-11f3af309274a5b6;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/dashboard/dashboard2.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/dashboard/dashboard2.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:52	79201/79201	---M-Z	200	added ('OK')	text/html	etag:%2213561-62a1a39b-3b4270813b37a400;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/employee/all-employees.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/employee/all-employees.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:52	62022/62022	---M-Z	200	added ('OK')	text/html	etag:%22f246-62a1a39b-6ee610c9a434ce36;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/employee/add-employee.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/employee/add-employee.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:53	62284/62284	---M-Z	200	added ('OK')	text/html	etag:%22f34c-62a1a39b-deef1e0aa34da11c;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/employee/edit-employee.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/employee/edit-employee.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:53	81235/81235	---M-Z	200	added ('OK')	text/html	etag:%2213d53-62a1a39b-5ddb4c103dfb13b0;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/projects/all-projects.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/projects/all-projects.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:53	62283/62283	---M-Z	200	added ('OK')	text/html	etag:%22f34b-62a1a39b-abf863a6fa53c0a5;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/projects/add-project.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/projects/add-project.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:53	62485/62485	---M-Z	200	added ('OK')	text/html	etag:%22f415-62a1a39b-eadc3c4b0099d33;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/projects/edit-project.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/projects/edit-project.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:54	68313/68313	---M-Z	200	added ('OK')	text/html	etag:%2210ad9-62a1a39b-1902e04ef8c2cc7d;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/attendance/today-attend.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/attendance/today-attend.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:54	76829/76829	---M-Z	200	added ('OK')	text/html	etag:%2212c1d-62a1a39b-3e5210d1cc2c488d;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/attendance/emp-attend.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/attendance/emp-attend.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:54	79059/79059	---M-Z	200	added ('OK')	text/html	etag:%22134d3-62a1a39b-60efaf5f36066a92;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/clients/all-clients.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/clients/all-clients.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:54	62942/62942	---M-Z	200	added ('OK')	text/html	etag:%22f5de-62a1a39b-f1aa06fa5d9c6dcf;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/clients/add-client.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/clients/add-client.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:55	63383/63383	---M-Z	200	added ('OK')	text/html	etag:%22f797-62a1a39b-1ecb85314cb17f6;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/clients/edit-client.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/clients/edit-client.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
